text,emergency_level,sentiment,is_emergency,disaster_type,source,verified,timestamp
Wildlife alert: devastating bear sighted in west end. Stay alert. ID:4755,MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-11-14 01:39:00.608076
Regular update: Community event in riverside. #7754,NON_EMERGENCY,POSITIVE,False,NONE,twitter,True,2024-10-24 02:49:00.641033
9 aftershocks reported in harbor area. Magnitude major on Richter scale. ID:9182,HIGH,NEGATIVE,True,OTHER,news_agency,False,2024-11-06 20:26:00.595077
CRITICAL: devastating gas leak detected in highway 101. 15 block radius being evacuated now. ID:8322,CRITICAL,PANIC,True,OTHER,news_agency,True,2024-10-30 10:42:00.585080
ALERT: considerable tornado approaching east area. 20 minutes to seek shelter! #tornado ID:2836,CRITICAL,PANIC,True,TORNADO,news_agency,False,2024-10-31 14:17:00.580082
extensive hurricane with heavy rain approaching east area. Wind speeds 300mph. Immediate evacuation ordered! ID:2850,CRITICAL,PANIC,True,HURRICANE,twitter,True,2024-11-01 18:54:00.583081
Dam failure imminent at harbor area! 9 communities at risk. Evacuate urgently! #flood ID:1900,CRITICAL,PANIC,True,FLOOD,twitter,True,2024-10-31 00:29:00.591079
Regular update: Community event in interstate 95. #1137,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,False,2024-10-23 15:51:00.642039
Regular update: Community event in industrial zone. #2291,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,False,2024-11-10 03:03:00.641033
Evacuation center at harbor area reaching capacity. 12 people sheltered. ID:6498,HIGH,NEGATIVE,True,OTHER,news_agency,False,2024-11-04 06:14:00.601091
Water pressure issues reported in riverside. 8 households affected. ID:5059,MEDIUM,NEUTRAL,True,OTHER,public,False,2024-10-19 01:18:00.610805
Regular update: Community event in commercial zone. #9367,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-11-16 16:40:00.641033
Minor incident: heavy rain affecting north district. Use caution. #5549,LOW,NEUTRAL,False,WEATHER,public,True,2024-11-09 21:34:00.634568
Small fire contained in highway 101. 4 acres affected. No evacuations needed. ID:9531,MEDIUM,NEUTRAL,True,FIRE,emergency_service,True,2024-11-08 18:55:00.605076
Regular update: Community event in main street. #9181,NON_EMERGENCY,POSITIVE,False,NONE,twitter,True,2024-11-10 10:14:00.641033
3 aftershocks reported in suburban area. Magnitude massive on Richter scale. ID:1899,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-10-31 17:59:00.595077
Regular update: Community event in route 27. #7598,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-11-16 01:52:00.642039
CRITICAL: devastating gas leak detected in west end. 25 block radius being evacuated as soon as possible. ID:5901,CRITICAL,PANIC,True,OTHER,public,True,2024-10-21 01:12:00.585080
Building collapsed in commercial zone after severe earthquake. 25+ people trapped. Emergency services responding. ID:6983,CRITICAL,PANIC,True,EARTHQUAKE,news_agency,True,2024-11-07 03:34:00.582079
Power outage affecting 30k residents in harbor area after hail. ID:5184,HIGH,NEGATIVE,True,OTHER,public,True,2024-10-30 16:21:00.593077
