text,emergency_level,sentiment,is_emergency,disaster_type,source,verified,timestamp
Minor incident: strong winds affecting east area. Use caution. #5396,LOW,NEUTRAL,False,WEATHER,twitter,False,2024-11-11 02:43:51.315290
ALERT: considerable tornado approaching harbor area. 7 minutes to seek shelter! #tornado ID:7277,CRITICAL,PANIC,True,TORNADO,twitter,True,2024-10-30 20:58:51.275300
CRITICAL: significant gas leak detected in metropolitan area. 25 block radius being evacuated in next 30 minutes. ID:2317,CRITICAL,PANIC,True,OTHER,public,True,2024-10-22 04:21:51.278290
Regular update: Community event in east area. #4849,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-11-01 07:58:51.323290
Water pressure issues reported in north district. 9 households affected. ID:1954,MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-10-21 11:19:51.298305
Regular update: Community event in industrial zone. #7032,NON_EMERGENCY,POSITIVE,False,NONE,public,True,2024-11-11 02:08:51.323290
Planned power outage in commercial zone for 20 hours tomorrow. ID:4673,MEDIUM,NEUTRAL,True,OTHER,public,False,2024-10-27 05:05:51.295291
Wildlife alert: severe bear sighted in west end. Stay alert. ID:4223,MEDIUM,NEUTRAL,True,OTHER,public,False,2024-11-07 07:50:51.296292
7 aftershocks reported in east area. Magnitude extensive on Richter scale. ID:5608,HIGH,NEGATIVE,True,OTHER,news_agency,False,2024-11-02 03:15:51.285293
CRITICAL: significant gas leak detected in metropolitan area. 20 block radius being evacuated as soon as possible. ID:5213,CRITICAL,PANIC,True,OTHER,emergency_service,True,2024-11-17 07:01:51.278290
Minor incident: hail affecting riverside. Use caution. #8499,LOW,NEUTRAL,False,WEATHER,twitter,True,2024-11-09 13:09:51.316291
devastating landslide reported near residential district. 9 homes at risk. ID:5552,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-10-22 04:33:51.291297
Power outage affecting 2k residents in downtown after heavy rain. ID:2739,HIGH,NEGATIVE,True,OTHER,news_agency,False,2024-11-16 06:41:51.283292
Dam failure imminent at suburban area! 4 communities at risk. Evacuate within next hour! #flood ID:4243,CRITICAL,PANIC,True,FLOOD,news_agency,True,2024-11-13 08:49:51.281293
significant accident on suburban area: 30 vehicles involved. Multiple injuries. Avoid area urgently. ID:2362,CRITICAL,PANIC,True,OTHER,emergency_service,True,2024-11-04 01:18:51.279290
"critical brush fire near interstate 95, spreading without delay. 20 acres affected. ID:8435",HIGH,NEGATIVE,True,FIRE,public,True,2024-11-13 20:34:51.284291
Hospital in residential district at 2% capacity. Seeking additional resources. ID:9040,HIGH,NEGATIVE,True,OTHER,emergency_service,False,2024-10-26 09:33:51.285293
Planned power outage in highway 101 for 10 hours tomorrow. ID:1950,MEDIUM,NEUTRAL,True,OTHER,public,True,2024-10-21 08:46:51.295291
ALERT: significant tornado approaching residential district. 3 minutes to seek shelter! #tornado ID:5851,CRITICAL,PANIC,True,TORNADO,news_agency,False,2024-10-20 01:11:51.275300
Minor incident: dense fog affecting west end. Use caution. #2211,LOW,NEUTRAL,False,WEATHER,twitter,False,2024-11-13 04:05:51.316291
snow forecast for riverside. Expected duration: 15 hours. ID:8026,MEDIUM,NEUTRAL,True,OTHER,news_agency,True,2024-10-20 10:51:51.292292
EMERGENCY: devastating chemical spill in highway 101. 4 mile evacuation zone. Hazmat responding. ID:9339,CRITICAL,PANIC,True,HAZMAT,public,False,2024-11-09 17:56:51.279290
Regular update: Community event in highway 101. #6740,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,False,2024-11-17 02:39:51.323290
Traffic delay on east area: 10 minute backup due to substantial accident. ID:6669,MEDIUM,NEUTRAL,True,OTHER,twitter,True,2024-10-27 13:55:51.294292
Evacuation center at riverside reaching capacity. 30 people sheltered. ID:9724,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-11-09 22:29:51.290297
Regular update: Community event in east area. #7574,NON_EMERGENCY,POSITIVE,False,NONE,public,True,2024-11-06 12:16:51.321293
north district roads flooded due to strong winds. 3 feet of water reported. ID:4477,HIGH,NEGATIVE,True,FLOOD,public,True,2024-11-16 11:52:51.282296
Power outage affecting 6k residents in main street after snow. ID:5432,HIGH,NEGATIVE,True,OTHER,public,True,2024-10-27 16:48:51.283292
Minor incident: lightning affecting downtown. Use caution. #8426,LOW,NEUTRAL,False,WEATHER,public,True,2024-11-14 20:37:51.315290
Water contamination alert for west end. Affects 9k residents. Boil advisory issued. ID:2809,HIGH,NEGATIVE,True,OTHER,twitter,True,2024-10-27 19:26:51.286290
Regular update: Community event in residential district. #9310,NON_EMERGENCY,POSITIVE,False,NONE,public,True,2024-10-19 17:40:51.321293
